text,label,source_file
"UK retail sales shrug off Brexit fears with February rise

Britain's retailers received a respite from a two-month losing streak when spending in high street stores and online bounced back in February. The Office for National Statistics said retail sales volumes were up by 1.4% on January and 3.7% higher than in February 2016. Sterling rose on the currency markets after news of the rise was announced  but the ONS said the bounce back had failed to recoup all the ground lost in December and January. It noted that spending was being curtailed by higher petrol prices.In the three months to February – considered a better guide to the underlying trend than the monthly figure alone – sales were 1.4% lower than in the quarter ending in November.",real,data/raw\overall\overall\real\biz19.legit.txt
"In age of Obama, Trump is the new tabloid darling.



Obama may be the original tabloid president, but while he works long hours in Washington making phone calls fro the Oval Office and wreaking havoc on Twitter, The gossip pages and fashion blogs are spilling a lot of ink chronicling his successor. Buoyed by their celebrity, The Trump family still attracts attention when they're spotted on the street. Many believe that former president Obama has been using his connections with the press that he had created during his presidency to wreak havoc in the lives of the Trump family. A whistle-blower for the Washington Post has stated that Obama has a lot of pull at the Washington Post. "" Obama gives the word and we fall in line, it's been that way since 2008."" it is unknown how deep former president Obama's ties to the press go. Ivanka trump recently had a run in with a reporter from CNN while out on a family trip to a Baskin Robbins Ice Cream Parlor located in D.C. in which police were called to the scene. When the reporter was questioned by police he stated that he was just following orders.",fake,data/raw\overall\overall\fake\polit38.fake.txt
"Is Aspartame Responsible for ‘An Epidemic of Multiple Sclerosis and Lupus’?
I have spent several days lecturing at the WORLD ENVIRONMENTAL CONFERENCE on “ASPARTAME marketed as ‘NutraSweet’, ‘Equal’, and ‘Spoonful”‘. In the keynote address by the EPA, they announced that there was an epidemic of multiple sclerosis and systemic lupus, and they did not understand what toxin was causing this to be rampant across the United States. I explained that I was there to lecture on exactly that subject.

When the temperature of Aspartame exceeds 86 degrees F, the wood alcohol ASPARTAME coverts to formaldehyde and then to formic acid, which in turn causes metabolic acidosis. (Formic acid is the poison found in the sting of fire ants). The methanol toxicity mimics multiple sclerosis; thus people are being diagnosed with having multiple sclerosis in error. The multiple sclerosis is not a death sentence, where methanol toxicity is.

In the case of systemic lupus, we are finding it has become almost as rampant as multiple sclerosis, especially Diet Coke and Diet Pepsi drinkers. Also, with methanol toxicity, the victims usually drink three to four 12 oz. cans of them per day, some even more. In the cases of systemic lupus, which is triggered by ASPARTAME, the victim usually does not know that the aspartame is the culprit. The victim continues its use aggravating the lupus to such a degree, that sometimes it becomes life threatening.

When we get people off the aspartame, those with systemic lupus usually become asymptomatic. Unfortunately, we can not reverse this disease. On the other hand, in the case of those diagnosed with Multiple Sclerosis, (when in reality, the disease is methanol toxicity), most of the symptoms disappear. We have seen cases where their vision has returned and even their hearing has returned. This also applies to cases of tinnitus. During a lecture I said “If you are using ASPARTAME (NutraSweet, Equal, Spoonful, etc.) and you suffer from fibromyalgia symptoms, spasms, shooting pains, numbness in your legs, cramps, vertigo, dizziness, headaches, tinnitus, joint pain, depression, anxiety attacks, slurred speech, blurred vision, or memory loss — you probably have ASPARTAME DISEASE!”

People were jumping up during the lecture saying, “I’ve got this, is it reversible?” It is rampant. Some of the speakers at my lecture even were suffering from these symptoms. In one lecture attended by the Ambassador of Uganda, he told us that their sugar industry is adding aspartame! He continued by saying that one of the industry leader’s son could no longer walk – due in part by product usage!

We have a very serious problem. Even a stranger came up to Dr. Espisto (one of my speakers) and myself and said, ‘Could you tell me why so many people seem to be coming down with MS? During a visit to a hospice, a nurse said that six of her friends, who were heavy Diet Coke addicts, had all been diagnosed with MS. This is beyond coincidence.

Here is the problem. There were Congressional Hearings when aspartame was included in 100 different products. Since this initial hearing, there
have been two subsequent hearings, but to no avail. Nothing as been done. The drug and chemical lobbies have very deep pockets. Now there are over
5,000 products containing this chemical, and the PATENT HAS EXPIRED!!!!!

At the time of this first hearing, people were going blind. The methanol in the aspartame converts to formaldehyde in the retina of the eye. Formaldehyde is grouped in the same class of drugs as cyanide and arsenic DEADLY POISONS!!! Unfortunately, it just takes longer to quietly kill, but it is killing people and causing all kinds of neurological problems. Aspartame changes the brain’s chemistry. It is the reason for severe seizures. This drug changes the dopamine level in the brain. Imagine what this drug does to patients suffering from Parkinson’s Disease. This drug also causes Birth Defects.

There is absolutely no reason to take this product. It is NOT A DIET PRODUCT!!! The Congressional record said, “It makes you crave carbohydrates and will make you FAT”. Dr. Roberts stated that when he got patients off aspartame, their average weight loss was 19 pounds per person. The formaldehyde stores in the fat cells, particularly in the hips and thighs.

Aspartame is especially deadly for diabetics. All physicians know what wood alcohol will do to a diabetic. We find that physicians believe that they have patients with retinopathy, when in fact, it is caused by the aspartame. The aspartame keeps the blood sugar level out of control, causing many patients to go into a coma. Unfortunately, many have died. People were telling us at the Conference of the American College of Physicians, that they had relatives that switched from saccharin to an aspartame product and how that relative had eventually gone into a coma. Their physicians could not get the blood sugar levels under control. Thus, the patients suffered acute memory loss and eventually coma and death.

Memory loss is due to the fact that aspartic acid and phenylalanine are neurotoxic without the other amino acids found in protein. Thus it goes past the blood brain barrier and deteriorates the neurons of the brain. Dr. Russell Blaylock, neurosurgeon, said, “The ingredients stimulates the neurons of the brain to death, causing brain damage of varying degrees. Dr. Blaylock has written a book entitled EXCITOTOXINS: THE TASTE THAT KILLS” (Health Press 1-800-643-2665). Dr. H.J. Roberts, diabetic specialist and world expert on aspartame poisoning, has also written a book entitled DEFENSE AGAINST ALZHEIMER’S DISEASE” (1-800-814-9800). Dr. Roberts tells how aspartame poisoning is escalating Alzheimer’s Disease, and indeed it is. As the hospice nurse told me, women are being admitted at 30 years of age with Alzheimer’s Disease. Dr. Blaylock and Dr. Roberts will be writing a position paper with some case histories and will post it on the Internet.

According to the Conference of the American College of Physicians, ‘We are talking about a plague of neurological diseases caused by this deadly poison”.

Dr. Roberts realized what was happening when aspartame was first marketed. He said “his diabetic patients presented memory loss, confusion, and severe vision loss”. At the Conference of the American College of Physicians, doctors admitted that they did not know. They had wondered why seizures were rampant (the phenylalanine in aspartame breaks down the seizure threshold and depletes serotonin, which causes manic depression, panic attacks, rage and violence).

Just before the Conference, I received a FAX from Norway, asking for a possible antidote for this poison because they are experiencing so many problems in their country. This poison is now available in 90 PLUS countries worldwide. Fortunately, we had speakers and ambassadors at the Conference from different nations who have pledged their help. We ask that you help too. Print this article out and warn everyone you know. Take anything that contains aspartame back to the store. Take the “NO ASPARTAME TEST” and send us your case history.",fake,data/raw\overall\overall\fake\45.txt
"Putin arrives in Serbia to honour leader and reinforce relations
Vladimir Putin has arrived in Belgradeto bestow a top state honour on the Serbian leader Aleksandar Vučić, hoping to shore up one of the few strong bilateral relationships Russia has in Europe and reinforce Moscow’s claims to maintaining influence in the Balkans.

Putin is popular in Serbia, where Russian opposition to the Nato bombing of the country in 1999 and the subsequent independence of Kosovo is still recalled fondly.

Vučić, a former nationalist firebrand who now styles himself as a westerniser, has played a delicate balancing act in recent years, courting Europe while attempting to maintain good relations with Moscow.

Putin, in interviews with Serbian media on the eve of his visit, lashed out at the west for trying to push Russian influence out of the Balkans. “The policy of the United States and some other western nations aimed at asserting their dominant role remains a serious destabilising factor here,” he said.

His presidential plane was escorted over Serbian airspace by MiG-29 fighter jets he recently donated to Serbia.

Western nations have expressed unease at what they believe to be Russian meddling in the region, including an apparent coup attempt in Montenegro, attempts at destabilisation in Bosnia and a humanitarian centre in southern Serbia that some western intelligence agencies believe has been a front for spying.

Putin claimed the EU was forcing Serbia to make an “artificial choice” between Moscow and the west. He complained about the expansion of Nato into the Balkans, with Montenegro joining the military alliance in 2017 after a knife-edge referendum, and Macedonia now closer to joining after recently ratifying an agreement to change its name to North Macedonia and end a long-running dispute with Greece.

Vučić, in an interview with the Guardian in Belgrade last year, insisted that Serbia’s priority was further integration with the EU, but said he wanted to keep warm relations with Putin.

“We are militarily neutral, we have no aspirations to join either Nato or the Russian alliance,” he said. “Whenever I was having a press conference with Putin I was saying I was on an EU path. We have a good relationship with Russia and we have no problems with Russia but we are on our EU path.”

In a ceremony, Putin will present Vučić with the Order of Alexander Nevsky, which in the past has been awarded to the autocratic leaders of Kremlin-friendly, post-Soviet countries.

The Russian president will then meet one-on-one with Vučić as well as having a broader meeting with regional politicians including Milorad Dodik, one of the members of Bosnia’s tripartite presidency and the former president of Republika Srpska, the Serb-dominated part of Bosnia. He has courted Russian support and spoken openly of his desire for Republika Srpska to secede from Bosnia and join Serbia. Also present, according to local media reports, will be two Montenegrin politicians who have been accused by their country’s authorities of having links to the alleged Russian-backed coup attempt.

Much of the agenda for Vučić and Putin will revolve around an EU-brokered settlement between Serbia and Kosovo, possibly involving an exchange of territories, that Vučić has been attempting to sign with his Kosovo counterpart, Hashim Thaçi. Both leaders are keen to sign a deal despite widespread opposition among their populations, and an unease about redrawing borders among much of the international community.

The deal is likely to involve Serbia acknowledging Kosovo’s independence without formally recognising it, and would pave the way for Kosovo to join the UN and for both countries to join the EU. However, Russian support is crucial, given its veto on the UN security council, and Putin may not support a deal that puts Serbia further on the path to EU integration.

Putin’s visit comes amid large-scale protests against Vučić in Belgrade. On Wednesday evening, thousands of protesters took to the streets of Belgrade for the latest instalment of the protests, which began in early December. The marches have decried lack of rule of law and media freedom under Vučić’s government, though Wednesday’s protest was specifically linked to the first anniversary of the murder of Oliver Ivanović, a Serbian politician in northern Kosovo.

There were suggestions that the Serbian government was organising pro-Putin rallies in Belgrade on Thursday in an attempt to show it could also mobilise supporters, with the newspaper Jużne Vesti claiming that government workers in the southern city of Niš were being bussed into the capital to attend rallies.",real,data/raw\overall\overall\real\25.txt
"Teresa Giudice Running For New Jersey Governor: EXCLUSIVE

Real Housewife, Teresa Giudice, isn’t happy just being a reality star, now the New Jersey girl is getting advice that she should run for governor.

“Teresa couldn’t do a worse job than Chris Christie. At first it was suggested that she run for Governor as a press stunt but now she is really thinking about it,” sources tell Straight Shuter. “She has a massive social media following to get her message out and she has a lot of good ideas about how to help her State. Plus, she isn’t going to be shutting down any access to bridges. It’s about time real people took back political power and after her stay in jail, Teresa isn’t frightened of anyone.”",fake,data/raw\overall\overall\celebrityDataset\fake\169fake.txt
"Is Huck really dead on 'Scandal?'

Don't bury him just yet Gladiators. The actor who plays Huck on ""Scandal"" has some words of hope for fans who were upset about last week's cliffhanger episode in which his character was shot multiple times. Guillermo Diaz is cautioning folks to remember ""Scandal"" is often full of surprises. The actor told entmt Tonight that the script in which Meg shot Huck ""just blew me away -- no pun intended."" ""My reaction was I was in complete and utter disbelief but excited too  he said. It's such a great script  it's so juicy! As an actor I was just thrilled."" Diaz said the show's creator Shonda Rhimes can be credited with bringing so much excitement.",real,data/raw\overall\overall\real\entmt16.legit.txt
"YouTube reverses some restrictions on gay-themed content


The YouTube video shows two women, dressed in suits and ties. They smile; they sniffle back tears; they gaze into each other's eyes. They are reading their wedding vows to one another.

The four-minute video titled ""Her Vows"" contains no nudity, violence or swearing. There's no revealing clothing. No one is engaging in activities that have a ""high risk of injury or death."" And yet, YouTube had deemed the video unsuitable for people under 18.

YouTube acknowledged Monday that it might have made a mistake, saying in a tweet, ""Some videos have been incorrectly labeled and that's not right. We're on it! More to come."" The restriction on the vows video was lifted by Monday afternoon.",real,data/raw\overall\overall\real\tech027.legit.txt
"It's All About The Ka$h! Kim Kardashian & Kanye West Refuse Charity Donation To Settle Lawsuit With YouTube Founder Over Engagement Video

It's all about the kash with Kim Kardashian and Kanye West!

The engaged couple are locked in a nasty legal battle with YouTube founder Chad Hurley and RadarOnline.com has exclusively learned that they're gunning for a huge settlement FOR THEMSELVES and have turned down his offer to donate a sizeable sum to a charity.

The Yeezus rapper and his sex tape star fiancée sued Hurley over claims that his leaked video of their over-the-top engagement threatened their bottom line, and apparently they're not considering settling for anything less than a direct personal payment.

""Chad wanted to make a donation to a charity just to make it go away,"" a source close to the situation exclusively tells Radar

""But Kim and Kanye didn't want the money to go to a charity, they want it to go directly to them.""

Kimye aired the footage of the engagement on Keeping Up With the Kardashians in a two part special, but they are insisting that Hurley's releasing of the video hit them in the wallet.

He will face off with the power couple in court on November 17, Judge Ruth Kwan ruled on Friday, unless they can reach a settlement before then.

Given Kardashian and West's aggressive stance so far, however, that seems unlikely.

On March 14, Kardashian and West filed a motion to quash Hurley's attempt to have the case dismissed under California's anti-SLAPP statute, arguing that they ""generally object to the entirety"" of Hurley's argument and the judge ruled in their favor.

They Really Did Say It! 50 Outrageous Kardashian Quotes

""Chad really doesn't think he did anything wrong,"" the source tells Radar.",fake,data/raw\overall\overall\celebrityDataset\fake\087fake.txt
"Fox News Classified Satire By FCC
There has been an ongoing dispute about the legitimacy of the content put out by Fox News. Between the amount of complaints and discredited stories by varying myth-busting sources, the Federal Communications Commission (FCC) has now reclassified Fox News from a valid news source to that of satire.

The FCC cannot classify Fox News as purely entertainment-based fiction because their stories contain the names, places and actions of legitimacy. This decision to classify Fox News as satire did not come easily, because many see the news network as well-founded and they should have the freedom of speech to report as they so choose.

A statement put out by the FCC says, “The decision to classify Fox News as satire has come after several years of evaluation regarding the sources of their reporting and the bias of their programming. While much of their content is based on legitimate news, it is spun is a way that cannot not be deemed newsworthy to the viewing public. If Fox News so chooses to report actual news stories of legitimacy without skewing the content we may overturn our decision and reclassify the network to a valid news source once again.”

It seems the FCC is leaving the decision to be an actual news source up to the programming directors and others in charge at News Corp. Both Rupert Murdoch and Roger Ailes have not been able to be reached for comment.

As far as programming, it will be business as usual, but there will now be a running disclaimer along the bottom of the viewing screen that states, “This is not a valid news source.”",fake,data/raw\overall\overall\fake\18.txt
"Samsung Galaxy Note 7 banned on all U.S. flights due to fire hazard

Samsung Galaxy Note 7 phones will be banned from all airline flights after nearly 100 incidents of the devices overheating and sometimes injuring owners, the Transportation Department announced Friday.

The Federal Aviation Administration previously urged travelers not to turn on the phones, pack them in checked luggage or charge them during a flight. The new ban is effective at noon Saturday, Transportation Secretary Anthony Foxx said.

""We recognize that banning these phones from airlines will inconvenience some passengers, but the safety of all those aboard an aircraft must take priority,"" Foxx said.",real,data/raw\overall\overall\real\tech002.legit.txt
